transferId,deployHash,blockHash,sourcePurse,targetPurse,amount,fromAccount,toAccount,timestamp
null,e90459e60ebeaf9850114e036d6b46a979f15f18116f915b75aff0b10eee49c3,ba8ec903408cc8ea5fc1b71b7e92eccf590ba718e3cdd6acf0faa62f4c1aea49,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-696c14e215378ee7385d6a8355416c65cc8ed1110db66ba682c1fc6808163209-004,51789134310,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,e4d40c6b26c8ca4fc38ee1fd4ec833d31287618f8b7e50dfb0cc15cdcdb6bbe0,2021-09-18T08:08:53.000Z
3345,abb4c7a7f52ce1eaf36e4f88e57903bb8daacfb853971997cf491075412b81ad,ba8ec903408cc8ea5fc1b71b7e92eccf590ba718e3cdd6acf0faa62f4c1aea49,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-f85816821db61ecec2fcffac5f41c420633c702a0f2c2ed07d8b30c9f2cdfecb-004,28897823810,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,36a53847967861e29a611465c56c3b23b46ee6b258dcb7d4f0e70327341bb11e,2021-09-18T08:08:50.000Z
3439,9da7b38c9b5d92055fbe677f931869706b5a3748dfc3de88d10933388180c706,4a5679ded141e3baa82f3fe9d6ef195947a1062b8c37a7ed766f817a052b7ccd,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-f85816821db61ecec2fcffac5f41c420633c702a0f2c2ed07d8b30c9f2cdfecb-004,80686969120,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,36a53847967861e29a611465c56c3b23b46ee6b258dcb7d4f0e70327341bb11e,2021-09-18T08:07:33.000Z
null,215882238d3d3c448729c45ad7f40245705910d345adbbe3a208888e7c79af89,daa709b0d61aa1f1262b964f2d048b319714eb34e2ef51d3b9b517327ae2c91a,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-cda91ee4f32fb84e57afe3440203abdc588ce0b04e17071a3852108a2c8aade8-004,51789134310,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,b2327eec5cfee3983ef1f0dcd30e1982cd19ff5284edfcb9d62f6c971474a299,2021-09-18T08:06:39.000Z
3423,dd1ade6bcb40db06d3ac17f4235cd5a6aecb9fde4405ef38299cf78e9177a4da,e345c1b02ba21fda49f123bc058a808ed56875d1b6667180bc0651481692c11f,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-f85816821db61ecec2fcffac5f41c420633c702a0f2c2ed07d8b30c9f2cdfecb-004,80686969120,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,36a53847967861e29a611465c56c3b23b46ee6b258dcb7d4f0e70327341bb11e,2021-09-18T07:52:38.000Z
null,404cc39be578e983b7d335a49d8750f0e334d625c52804fd0f72e88588d9bb16,a5d698e0c5b230d0e39742e509e17bd838191b3f009452fb2201e5f5997f7990,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-b391fca7b6d25605f56a1aac67108e8e4c5ca76f3a5893c4eb50bb563091929e-004,8074929468000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,a7a2b80fcfe11d3cda65575c78d42cbd7681c916a7c62f070ec68eb0c34eaff5,2021-09-18T07:40:45.000Z
null,32680ff4215574e63b4181c6842db7c2fbe6460dcde2062476839dd30cee217b,cd9c42252a8311bb9d26fb335c589c5ae683f0a0babc7d79c1b3eff06b8c6596,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-d4a357c267e36f950e5c4f2febb0d6f12d7456950bd16f2820994aed6f48edc0-004,11346000000000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,b6ef198c5c24a03c2c6e62af271a077a9a446fa57a76f71746c49c666de42a17,2021-09-18T07:38:39.000Z
null,282464bc564aebd9d5cd989a870aa3a6c4ca1f4733baa2f1095713bd2ac08e36,58fc273331abc4d5120466f4215295c3c0d303efa92ce9d6454c6f315afc041a,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-c276cb07d016f3e9cd5f8a404601b2e7bfa2cee40e38407aafff0f3b6f484a43-004,80630488230,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,5efa84a77db976cf1a720b4dc283bfd853a2259d72e057de253ce25dec028487,2021-09-18T07:34:36.000Z
null,05b3924224cc1f8db18b7080f5c9f1e85ffa024a88be46b6638e683ded0b1f8a,457109b60ef2bdc7059d00b7006f7aa975d260b4d3b901e90fefeeea9d98be68,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-fc91ef9d3cad37c1037d8b4adfc65d1cbd931ea68461702727663b176e8b9f4e-004,51789134310,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,c4007789ef01db6fbfd3c32fcaa4ab3e0398b1d06f7bc65167f27329e0dc8a0e,2021-09-18T07:27:29.000Z
null,f50d8731d0b44c61d05e688399a22e109d0fc519e50eb21d6b37114b8be4c32e,9d92135f204ccc3cf3fce4bcd4078e759fd1a7ad553474dd5a0e1be79e0a9489,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-82c60e793406f540e309c81c8ba3c38729d7841a1c57eeb91353dd86032b5a48-004,3307127738160,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,7686fcd92e5d29a582206ab84ae6206df586a0d28c0c0a7516a185c41c1ad773,2021-09-18T07:19:29.000Z
3408,2f075e4d2299e795617f89336b38691887f0e130ea099b760ae6d634d8a35b73,6a8d7fdfbc3977186b680d24303c598bc1a2960010a390a23b1c0313a8e35e92,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-f85816821db61ecec2fcffac5f41c420633c702a0f2c2ed07d8b30c9f2cdfecb-004,80686969120,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,36a53847967861e29a611465c56c3b23b46ee6b258dcb7d4f0e70327341bb11e,2021-09-18T07:06:39.000Z
